Fish ID,Genotype,WT(g),LogWT,Elevation (m),LDH (IU/mg protein),LogLDH,CS (IU/mg protein,LogCS,OCR (mgO2/hr),LogOCR,AchE (uM/min/ml),LogAchE
By1-01,RT,96.2,1.98317507,1234,,,,,18.68,1.27137687,,
By1-06,RT,39.3,1.59439255,1234,,,,,8.98,0.95327634,,
By1-11,RT,39.8,1.59988307,1234,,,,,9.4333162,0.97466439,,
By1-16,RT,95.1,1.97818052,1234,,,,,19.444,1.28878561,,
By1-20,RT,58.2,1.76492298,1234,,,,,13.4727273,1.12945552,,
By1-24,RT,46.2,1.66464198,1234,,,,,11.9375,1.07691338,,
By1-25,RT,58.2,1.76492298,1234,,,,,11.5636364,1.06309443,,
By1-28,RT,56.5,1.75204845,1234,,,,,12.3136364,1.09038632,,
By1-29,RT,41.3,1.61595005,1234,,,,,11.55,1.06258198,,
By1-30,RT,45.9,1.66181269,1234,,,,,11.6125,1.06492573,,
By1-41,RT,116.2,2.06520613,1234,4.02325581,0.60457765,0.02601441,-1.584786,,,,
By1-42,HYB,203,2.30749604,1234,3.91927374,0.5932056,0.03616244,-1.4417423,,,,
By1-43,RT,124.5,2.09516935,1234,3.26963351,0.51449908,0.0481463,-1.3174371,,,,
By1-44,RT,209.5,2.32118403,1234,2.20692464,0.3437875,0.03557915,-1.4488044,,,,
By1-45,RT,253.7,2.40432047,1234,2.43181818,0.3859311,0.03181633,-1.49735,,,,
By1-46,RT,25.6,1.40823997,1234,1.84962406,0.26708347,0.02525846,-1.5975931,,,,
By1-47,RT,38,1.5797836,1234,1.32097792,0.12089556,0.02606583,-1.5839285,,,,
By1-48,RT,31.2,1.49415459,1234,1.35114504,0.13070197,0.03392316,-1.4695037,,,,
By1-49,RT,30.7,1.48713838,1234,1.64691849,0.21667211,0.02089181,-1.680024,,,,
By1-50,RT,28.4,1.45331834,1234,1.29280397,0.11153268,0.04413893,-1.3551782,,,,
By1-61,RT,90.8,1.958,1234,,,,,,,57.34,1.758
By1-62,HYB,163.7,2.214,1234,,,,,,,66.13,1.820
By1-63,RT,127.2,2.104,1234,,,,,,,56.84,1.755
By1-64,RT,145.6,2.163,1234,,,,,,,34.75,1.541
By1-65,RT,209.2,2.321,1234,,,,,,,39.92,1.601
By1-66,RT,28.0,1.448,1234,,,,,,,46.28,1.665
By1-67,RT,28.7,1.458,1234,,,,,,,49.35,1.693
By1-68,RT,31.3,1.496,1234,,,,,,,104.16,2.018
By1-69,RT,30.7,1.487,1234,,,,,,,96.49,1.984
By1-70,RT,24.4,1.387,1234,,,,,,,75.23,1.876
By1-71,RT,52.9,1.723,1234,,,,,,,55.52,1.744
Da1-01,WCT,73.1,1.86391738,1478,,,,,8.33,0.920645,,
Da1-03,WCT,40.6,1.60852603,1478,,,,,8.07,0.90687353,,
Da1-08,WCT,76.1,1.88138466,1478,,,,,16.102,1.20687982,,
Da1-12,WCT,80.1,1.90363252,1478,,,,,13.15,1.11892575,,
Da1-15,WCT,57.4,1.75891189,1478,,,,,8.05,0.90579588,,
Da1-41,WCT,150.5,2.1775365,1478,,,0.0301,-1.5214335,,,,
Da1-43,HYB,198.3,2.29732271,1478,,,0.047,-1.3279021,,,,
Da1-44,HYB,235,2.37106786,1478,,,0.0209,-1.6798537,,,,
Da1-61,WCT,143.7,2.157,1478,,,,,,,24.12,1.382
Da1-62,WCT,153.5,2.186,1478,,,,,,,21.82,1.339
Da1-63,HYB,221.8,2.346,1478,,,,,,,35.10,1.545
Da1-64,HYB,219.2,2.341,1478,,,,,,,32.72,1.515
Da1-65,WCT,226.9,2.356,1478,,,,,,,45.51,1.658
Da1-66,WCT,31.3,1.496,1478,,,,,,,30.48,1.484
Da1-67,WCT,43.7,1.641,1478,,,,,,,40.13,1.603
Da1-68,WCT,82.6,1.917,1478,,,,,,,34.39,1.536
Da1-69,WCT,63.3,1.801,1478,,,,,,,45.73,1.660
Da1-70,HYB,71.3,1.853,1478,,,,,,,35.65,1.552
Du0-01,HYB,217.8,2.33805788,1471,2.40811966,0.38167806,,,,,,
Du0-03,HYB,52.4,1.71933129,1471,,,,,6.92142857,0.84019574,,
Du0-10,WCT,83.4,1.92116605,1471,,,,,14.24,1.15350999,,
Du0-11,HYB,31.2,1.49415459,1471,2.1810089,0.33865744,,,,,,
Du0-13,WCT,60.9,1.78461729,1471,,,,,8.00226,0.90321266,,
Du0-14,WCT,49.3,1.69284692,1471,,,,,8.44,0.92634245,,
Du0-15,WCT,65.2,1.8142476,1471,,,,,8.408192,0.92470262,,
Du0-18,WCT,42.6,1.6294096,1471,,,,,8.17,0.91222206,,
Du0-23,HYB,33.1,1.51982799,1471,,,,,8.45651613,0.92719148,,
Du0-29,WCT,80.2,1.90417437,1471,,,,,14.2,1.15228834,,
Du0-40,HYB,407.1,2.6097011,1471,2.70192308,0.43167298,0.03163886,-1.4997792,,,,
Du0-41,WCT,476.5,2.6780629,1471,3.20484171,0.50580658,0.02658652,-1.5753385,,,,
Du0-42,WCT,547.2,2.73814609,1471,2.6119403,0.41696325,0.02723058,-1.5649432,,,,
Du0-43,WCT,332.5,2.52179165,1471,3.06652361,0.48664631,0.03713288,-1.4302414,,,,
Du0-44,WCT,391.2,2.59239885,1471,3.76623377,0.57590727,0.03906108,-1.4082558,,,,
Du0-45,WCT,221,2.34439227,1471,2.53714286,0.40434492,0.01728817,-1.7622511,,,,
Du0-46,WCT,200.7,2.30254737,1471,2.87417219,0.45851278,0.02962278,-1.5283742,,,,
Du0-47,HYB,712.1,2.85254099,1471,3.13406593,0.49610813,,,,,,
Du0-48,WCT,160.4,2.20520436,1471,2.85150812,0.45507461,,,,,,
Du0-49,WCT,261.3,2.41713941,1471,3.45559846,0.53852327,,,,,,
Du0-50,WCT,45.3,1.6560982,1471,,,,,10.5954546,1.02511959,,
Du0-51,HYB,30.5,1.48429984,1471,,,,,8.025,0.90444504,,
Du0-52,HYB,49.1,1.69108149,1471,,,,,10.2409091,1.01033851,,
Du0-53,HYB,25.1,1.39967372,1471,,,,,7.14,0.85369821,,
Du1-01,WCT,37.3,1.57170883,1631,,,,,5.89166667,0.77023817,,
Du1-07,WCT,75,1.87506126,1631,,,,,12.8361858,1.108436,,
Du1-08,WCT,28.3,1.45178644,1631,,,,,5.86,0.76789762,,
Du1-12,WCT,42.4,1.62736586,1631,,,,,6.99,0.84447718,,
Du1-15,WCT,30.2,1.48000694,1631,,,,,6.96,0.84260924,,
Du1-18,WCT,88.5,1.94694327,1631,,,,,11.86,1.07408469,,
Du1-22,WCT,95.4,1.97954837,1631,,,,,14.58,1.16375752,,
Du1-29,WCT,83.9,1.92376196,1631,,,,,14.3,1.15533604,,
Du1-30,WCT,44,1.64345268,1631,,,,,7.3,0.86332286,,
Du1-40,HYB,218.2,2.33885475,1631,2.25576037,0.35329296,0.04317453,-1.3647724,,,,
Du1-41,WCT,237.7,2.37602918,1631,1.99081836,0.29903164,0.02857031,-1.544085,,,,
Du1-42,WCT,134.9,2.13001195,1631,2.42076503,0.38395264,0.03770224,-1.4236329,,,,
Du1-43,WCT,93.2,1.96941591,1631,2.04484305,0.31065998,0.02055306,-1.6871234,,,,
Du1-44,WCT,190.3,2.27943879,1631,1.62132353,0.20986969,,,,,,
Du1-45,WCT,116.3,2.06557971,1631,1.84352078,0.26564804,,,,,,
Du1-46,WCT,131.2,2.11793384,1631,1.84024896,0.26487658,,,,,,
Du1-47,HYB,96.5,1.98452731,1631,1.7398374,0.24050866,0.03168341,-1.4991682,,,,
Du1-48,WCT,94.6,1.97589114,1631,2.05907173,0.31367148,0.02125217,-1.6725967,,,,
Du1-49,WCT,65,1.81291336,1631,1.23311547,0.09100375,,,,,,
Du2-01,WCT,129.6,2.112605,1539,1.71615721,0.23455707,,,,,,
Du2-02,WCT,19.2,1.28330123,1539,0.76256281,-0.1177244,,,,,,
Du2-03,WCT,16.3,1.2121876,1539,1.5766129,0.19772508,,,,,,
Du2-04,WCT,418.4,2.62159168,1539,2.248307,0.35185561,,,,,,
Du2-05,HYB,312.4,2.49471103,1539,2.8185567,0.45002678,,,,,,
Du2-06,WCT,36,1.5563025,1539,0.93630573,-0.0285823,,,,,,
Du2-07,WCT,91,1.95904139,1539,1.51,0.17897695,,,,,,
Du2-08,WCT,125.7,2.09933528,1539,2.25407166,0.35296772,,,,,,
Du2-09,WCT,124,2.09342169,1539,2.09597806,0.32138673,,,,,,
Du2-10,WCT,192.1,2.28352736,1539,1.87147887,0.27218493,,,,,,
Du2-11,WCT,159.6,2.20303289,1539,2.80195003,0.44746039,,,,,,
Du2-12,WCT,215.5,2.33344727,1539,2.13066202,0.32851456,,,,,,
Du2-13,WCT,129.7,2.11293998,1539,1.67,0.22271647,,,,,,
Du2-14,WCT,81.5,1.91115761,1539,1.56,0.1931246,,,,,,
Du2-15,WCT,59.7,1.77597433,1539,1.44376528,0.15949659,,,,,,
Du2-16,WCT,165.4,2.21853551,1539,1.83944954,0.26468788,,,,,,
Du2-17,WCT,136.3,2.13449586,1539,2.72,0.4345689,,,,,,
Du2-18,WCT,114.5,2.05880549,1539,2.51585624,0.40068582,,,,,,
Du2-19,WCT,94.8,1.97680834,1539,1.8573913,0.26890341,,,,,,
Du2-20,WCT,67.6,1.8299467,1539,3.07352941,0.48763737,,,,,,
Go1-01,HYB,1334.5,3.12531858,1280,2.45869777,0.39070515,0.02395601,-1.6205855,,,,
Go1-02,WCT,187.3,2.27253778,1280,1.93620415,0.28695115,0.0182,-1.7399286,,,,
Go1-03,RT,511.9,2.70918513,1280,1.58161259,0.19910011,0.01587896,-1.7991781,,,,
Go1-04,WCT,774.8,2.88918961,1280,2.01604938,0.30450117,0.01870007,-1.7281567,,,,
Go1-05,HYB,491.1,2.69116993,1280,2.29639889,0.36104733,0.01348548,-1.8701335,,,,
Go1-06,RT,489.9,2.69010744,1280,2.30457747,0.36259131,0.02112245,-1.6752558,,,,
Go1-07,HYB,389.9,2.59095324,1280,2.43045388,0.38568738,0.01154616,-1.9375623,,,,
Go1-08,HYB,318,2.50242712,1280,,,0.0210273,-1.6772166,,,,
Go1-09,HYB,325.1,2.51201697,1280,2.38139535,0.3768315,0.01661893,-1.7793969,,,,
Go1-10,WCT,290.1,2.46254773,1280,1.92449664,0.28431716,0.01606914,-1.7940074,,,,
Go1-11,HYB,175.5,2.24427712,1280,0.99615975,-0.001671,0.02010482,-1.6966999,,,,
Go1-12,HYB,110.5,2.04336228,1280,2.12878788,0.32813239,0.01862606,-1.729879,,,,
Go1-13,WCT,158.7,2.20057693,1280,1.34774067,0.12960633,0.0178,-1.74958,,,,
Go1-14,HYB,52.5,1.7201593,1280,1.37326389,0.137754,0.02336091,-1.6315103,,,,
Go1-15,RT,101.5,2.00646604,1280,1.70943396,0.23285233,0.01775805,-1.7506048,,,,
Go1-16,HYB,89.3,1.95085146,1280,2.28968105,0.35977499,0.0173592,-1.7604704,,,,
Go1-17,HYB,105.5,2.02325246,1280,2.168,0.33605928,0.02566527,-1.5906542,,,,
Go1-18,RT,30.4,1.48287358,1280,,,0.02729033,-1.5639912,,,,
Go1-19,RT,100.1,2.00043408,1280,2.05576923,0.31297436,0.0182056,-1.739795,,,,
Go1-20,RT,78.4,1.89431606,1280,1.75442043,0.24413368,0.0109307,-1.9613521,,,,
Go1-21,HYB,42.9,1.63245729,1280,,,,,7.30833333,0.86381835,,
Go1-23,HYB,41.2,1.61489722,1280,,,,,5.73409091,0.75846457,,
Go1-24,RT,45.3,1.6560982,1280,,,,,5.5636,0.7453559,,
Go1-25,RT,41.9,1.62221402,1280,,,,,7.59705882,0.88064549,,
Go1-26,HYB,38.4,1.58433122,1280,,,,,6.50526316,0.81326487,,
Go1-27,HYB,64.1,1.80685803,1280,,,,,14,1.14612804,,
Go1-28,RT,37.7,1.57634135,1280,,,,,8.74615385,0.94181711,,
Go1-29,HYB,38.2,1.58206336,1280,,,,,9.975,0.9989129,,
Go1-30,WCT,31,1.49136169,1280,,,,,7.246875,0.86015077,,
Go2-01,WCT,284.8,2.45453998,1341,2.97161937,0.47299318,,,,,,
Go2-02,WCT,124,2.09342169,1341,1.82874618,0.26215343,,,,,,
Go2-03,WCT,507.3,2.70526486,1341,2.14551607,0.33153177,,,,,,
Go2-04,WCT,336.4,2.52685599,1341,2.01161103,0.30354401,,,,,,
Go2-05,WCT,228.1,2.35812529,1341,2.37711069,0.37604941,,,,,,
Go2-06,WCT,185.2,2.26764098,1341,1.86774194,0.27131687,,,,,,
Go2-07,WCT,305.1,2.48444221,1341,2.33908629,0.36904624,,,,,,
Go2-08,WCT,108.7,2.03622954,1341,1.56107661,0.19342422,,,,,,
Go2-09,WCT,121.5,2.08457628,1341,1.98048781,0.29677217,,,,,,
Go2-10,WCT,151.5,2.18041263,1341,2.42459016,0.38463834,,,,,,
Go2-11,WCT,108.3,2.03462846,1341,2.27157001,0.35632613,,,,,,
Go2-12,WCT,166.1,2.22036963,1341,1.74,0.24054925,,,,,,
Go2-13,WCT,38.6,1.5865873,1341,1.77850163,0.25005427,,,,,,
Go2-14,WCT,39.4,1.59549622,1341,1.55809859,0.19259494,,,,,,
Go2-15,WCT,32.1,1.50650503,1341,1.17307692,0.06932649,,,,,,
Go2-16,WCT,24.5,1.38916608,1341,1.6321499,0.21276004,,,,,,
Go2-17,HYB,24.8,1.39445168,1341,1.7693837,0.24782202,,,,,,
Go2-18,WCT,26.1,1.41664051,1341,1.47601919,0.169092,,,,,,
Go2-19,WCT,21.1,1.32428246,1341,2.27801724,0.35755701,,,,,,
Go2-20,WCT,25,1.39794001,1341,1.65104167,0.21775803,,,,,,
NR-50,WCT,148.2,2.1708482,1646,1.80453564,0.25636546,,,,,,
NR-51,WCT,157.1,2.19617619,1646,2.20772532,0.34394504,,,,,,
NR-52,WCT,184.1,2.26505379,1646,1.83726415,0.2641716,,,,,,
NR-53,WCT,154.2,2.18808437,1646,2.13924528,0.33026058,,,,,,
NR-54,WCT,182,2.26007139,1646,2.3512605,0.37130075,,,,,,
NR-55,WCT,137.9,2.13956427,1646,1.36323268,0.13456999,,,,,,
NR-56,WCT,108.2,2.03422726,1646,1.74116608,0.2408402,,,,,,
NR-57,WCT,146.1,2.16465022,1646,1.5610998,0.19343067,,,,,,
NR-58,WCT,180.4,2.25623653,1646,2.16544118,0.33554639,,,,,,
NR-59,WCT,126.9,2.10346162,1646,3.25930233,0.51312465,,,,,,
NR-60,WCT,140.2,2.14674801,1646,2.03208556,0.30794199,,,,,,
NR-61,WCT,104.8,2.02036128,1646,2.50924025,0.39954224,,,,,,
NR-62,WCT,157.7,2.19783169,1646,2.23582766,0.34943833,,,,,,
